127.0.0.1, 2019-05-16 02:31:58, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-05-16 02:31:58, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-05-16 02:31:58, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-05-16 02:31:58, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.001000

127.0.0.1, 2019-05-16 02:31:58, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-05-16 02:31:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-05-16 02:31:59, POST, /start/default/user/login, HTTP/1.1, 303, 0.032000
127.0.0.1, 2019-05-16 02:31:59, GET, /start/default/index, HTTP/1.1, 200, 0.035000
127.0.0.1, 2019-05-16 02:32:02, GET, /start/default/index/edit/products/1, HTTP/1.1, 200, 0.033000
127.0.0.1, 2019-05-16 02:32:04, POST, /start/default/index/edit/products/1, HTTP/1.1, 303, 0.058000
127.0.0.1, 2019-05-16 02:32:04, GET, /start/default/index, HTTP/1.1, 200, 0.037000
127.0.0.1, 2019-05-16 10:47:56, GET, /, HTTP/1.1, 303, 0.003000
127.0.0.1, 2019-05-16 10:47:57, GET, /welcome/default/index, HTTP/1.1, 200, 0.725000
127.0.0.1, 2019-05-16 10:47:57, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.001000
127.0.0.1, 2019-05-16 10:47:57, GET, /welcome/static/images/favicon.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-05-16 10:47:57, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.003000
127.0.0.1, 2019-05-16 10:47:59, GET, /admin/default/index, HTTP/1.1, 200, 0.431000
127.0.0.1, 2019-05-16 10:47:59, GET, /admin/static/_2.18.5/css/calendar.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2019-05-16 10:47:59, GET, /admin/static/_2.18.5/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.008000
127.0.0.1, 2019-05-16 10:47:59, GET, /admin/static/_2.18.5/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2019-05-16 10:47:59, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2019-05-16 10:48:00, POST, /admin/default/index, HTTP/1.1, 303, 0.017000
127.0.0.1, 2019-05-16 10:48:00, GET, /admin/default/site, HTTP/1.1, 200, 0.055000
127.0.0.1, 2019-05-16 10:48:01, GET, /admin/static/_2.18.5/images/folder_locked.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-05-16 10:48:01, GET, /admin/static/_2.18.5/images/folder.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-05-16 10:48:01, GET, /admin/static/_2.18.5/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-05-16 10:48:02, GET, /start/default/index, HTTP/1.1, 200, 0.268000
127.0.0.1, 2019-05-16 10:48:02, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.009000
127.0.0.1, 2019-05-16 10:48:02, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2019-05-16 10:48:02, GET, /start/static/js/default_index.js, HTTP/1.1, 200, 0.007000
127.0.0.1, 2019-05-16 10:48:02, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.006000
127.0.0.1, 2019-05-16 10:48:02, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2019-05-16 10:48:02, POST, /admin/default/check_version, HTTP/1.1, 200, 1.598000
127.0.0.1, 2019-05-16 10:48:05, GET, /start/default/user/login, HTTP/1.1, 200, 0.037000
127.0.0.1, 2019-05-16 10:48:09, POST, /start/default/user/login, HTTP/1.1, 303, 0.040000
127.0.0.1, 2019-05-16 10:48:09, GET, /start/default/index, HTTP/1.1, 200, 0.031000
